method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
APA-RCA-v2,A2_etl_logic_error,small,13,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.47779083251953125,9
VAE+APA-RCA,A2_etl_logic_error,small,13,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,9.0,0,0,0,0.1111111111111111,1.0,0.43702125549316406,9
APA-RCA-v2,A2_etl_logic_error,small,14,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.47016143798828125,9
VAE+APA-RCA,A2_etl_logic_error,small,14,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,9.0,0,0,0,0.1111111111111111,1.0,0.457763671875,9
APA-RCA-v2,A2_etl_logic_error,small,15,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,3.0,0,1,1,0.3333333333333333,0.8,0.5099773406982422,9
VAE+APA-RCA,A2_etl_logic_error,small,15,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,10.0,0,0,0,0.1,1.0,0.4608631134033203,9
APA-RCA-v2,A2_etl_logic_error,small,16,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,3.0,0,1,1,0.3333333333333333,0.8,0.4832744598388672,9
VAE+APA-RCA,A2_etl_logic_error,small,16,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,7.0,0,0,0,0.14285714285714285,1.0,0.46181678771972656,9
APA-RCA-v2,A2_etl_logic_error,small,17,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,3.0,0,1,1,0.3333333333333333,0.8,0.5156993865966797,9
VAE+APA-RCA,A2_etl_logic_error,small,17,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,10.0,0,0,0,0.1,1.0,0.4260540008544922,9
APA-RCA-v2,A2_etl_logic_error,small,18,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,3.0,0,1,1,0.3333333333333333,0.8,0.4508495330810547,9
VAE+APA-RCA,A2_etl_logic_error,small,18,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,7.0,0,0,0,0.14285714285714285,1.0,0.4901885986328125,9
APA-RCA-v2,A2_etl_logic_error,small,19,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,3.0,0,1,1,0.3333333333333333,0.8,0.4830360412597656,9
VAE+APA-RCA,A2_etl_logic_error,small,19,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,10.0,0,0,0,0.1,1.0,0.4439353942871094,9
APA-RCA-v2,A2_etl_logic_error,small,20,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.5638599395751953,9
VAE+APA-RCA,A2_etl_logic_error,small,20,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,8.0,0,0,0,0.125,1.0,0.45490264892578125,9
APA-RCA-v2,A2_etl_logic_error,small,21,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,4.0,0,0,1,0.25,0.8,0.45108795166015625,9
VAE+APA-RCA,A2_etl_logic_error,small,21,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,9.0,0,0,0,0.1111111111111111,1.0,0.4680156707763672,9
APA-RCA-v2,A2_etl_logic_error,small,22,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,3.0,0,1,1,0.3333333333333333,0.8,0.49114227294921875,9
VAE+APA-RCA,A2_etl_logic_error,small,22,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,7.0,0,0,0,0.14285714285714285,1.0,0.4279613494873047,9
APA-RCA-v2,A2_etl_logic_error,small,23,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.4699230194091797,9
VAE+APA-RCA,A2_etl_logic_error,small,23,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,10.0,0,0,0,0.1,1.0,0.4611015319824219,9
APA-RCA-v2,A2_etl_logic_error,small,24,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.4830360412597656,9
VAE+APA-RCA,A2_etl_logic_error,small,24,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,9.0,0,0,0,0.1111111111111111,1.0,0.4711151123046875,9
APA-RCA-v2,A2_etl_logic_error,small,25,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.514984130859375,9
VAE+APA-RCA,A2_etl_logic_error,small,25,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,8.0,0,0,0,0.125,1.0,0.4239082336425781,9
APA-RCA-v2,A2_etl_logic_error,small,26,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,3.0,0,1,1,0.3333333333333333,0.8,0.5257129669189453,9
VAE+APA-RCA,A2_etl_logic_error,small,26,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,8.0,0,0,0,0.125,1.0,0.48732757568359375,9
APA-RCA-v2,A2_etl_logic_error,small,27,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,3.0,0,1,1,0.3333333333333333,0.8,0.5412101745605469,9
VAE+APA-RCA,A2_etl_logic_error,small,27,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,8.0,0,0,0,0.125,1.0,0.44083595275878906,9
APA-RCA-v2,A2_etl_logic_error,small,28,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.4801750183105469,9
VAE+APA-RCA,A2_etl_logic_error,small,28,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,8.0,0,0,0,0.125,1.0,0.46324729919433594,9
APA-RCA-v2,A2_etl_logic_error,small,29,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.5028247833251953,9
VAE+APA-RCA,A2_etl_logic_error,small,29,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,10.0,0,0,0,0.1,1.0,0.431060791015625,9
APA-RCA-v2,A3_feature_calc_error,small,0,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,9.0,0,0,0,0.1111111111111111,1.0,0.4611015319824219,9
VAE+APA-RCA,A3_feature_calc_error,small,0,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4661083221435547,9
APA-RCA-v2,A3_feature_calc_error,small,1,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,12.0,0,0,0,0.08333333333333333,1.0,0.4889965057373047,9
VAE+APA-RCA,A3_feature_calc_error,small,1,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4458427429199219,9
APA-RCA-v2,A3_feature_calc_error,small,2,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,9.0,0,0,0,0.1111111111111111,1.0,0.45490264892578125,9
VAE+APA-RCA,A3_feature_calc_error,small,2,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4601478576660156,9
APA-RCA-v2,A3_feature_calc_error,small,3,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,14.0,0,0,0,0.07142857142857142,1.0,0.48995018005371094,9
VAE+APA-RCA,A3_feature_calc_error,small,3,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4298686981201172,9
APA-RCA-v2,A3_feature_calc_error,small,4,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,9.0,0,0,0,0.1111111111111111,1.0,0.44727325439453125,9
VAE+APA-RCA,A3_feature_calc_error,small,4,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4858970642089844,9
APA-RCA-v2,A3_feature_calc_error,small,5,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,11.0,0,0,0,0.09090909090909091,1.0,0.4889965057373047,9
VAE+APA-RCA,A3_feature_calc_error,small,5,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4410743713378906,9
APA-RCA-v2,A3_feature_calc_error,small,6,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.4858970642089844,9
VAE+APA-RCA,A3_feature_calc_error,small,6,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4780292510986328,9
APA-RCA-v2,A3_feature_calc_error,small,7,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,26.0,0,0,0,0.038461538461538464,1.0,0.49114227294921875,9
VAE+APA-RCA,A3_feature_calc_error,small,7,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4260540008544922,9
APA-RCA-v2,A3_feature_calc_error,small,8,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,13.0,0,0,0,0.07692307692307693,1.0,0.44798851013183594,9
VAE+APA-RCA,A3_feature_calc_error,small,8,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4737377166748047,9
APA-RCA-v2,A3_feature_calc_error,small,9,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,12.0,0,0,0,0.08333333333333333,1.0,0.4951953887939453,9
VAE+APA-RCA,A3_feature_calc_error,small,9,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4279613494873047,9
APA-RCA-v2,A3_feature_calc_error,small,10,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,6.0,0,0,0,0.16666666666666666,1.0,0.45299530029296875,9
VAE+APA-RCA,A3_feature_calc_error,small,10,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4611015319824219,9
APA-RCA-v2,A3_feature_calc_error,small,11,FEAT_VOL20_STOCK_1_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.476837158203125,9
VAE+APA-RCA,A3_feature_calc_error,small,11,FEAT_VOL20_STOCK_1_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.42700767517089844,9
APA-RCA-v2,A3_feature_calc_error,small,12,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.4429817199707031,9
VAE+APA-RCA,A3_feature_calc_error,small,12,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.45800209045410156,9
APA-RCA-v2,A3_feature_calc_error,small,13,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.4901885986328125,9
VAE+APA-RCA,A3_feature_calc_error,small,13,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4260540008544922,9
APA-RCA-v2,A3_feature_calc_error,small,14,FEAT_VOL20_STOCK_1_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.4489421844482422,9
VAE+APA-RCA,A3_feature_calc_error,small,14,FEAT_VOL20_STOCK_1_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4570484161376953,9
APA-RCA-v2,A3_feature_calc_error,small,15,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,12.0,0,0,0,0.08333333333333333,1.0,0.492095947265625,9
VAE+APA-RCA,A3_feature_calc_error,small,15,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.44083595275878906,9
APA-RCA-v2,A3_feature_calc_error,small,16,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,9.0,0,0,0,0.1111111111111111,1.0,0.45108795166015625,9
VAE+APA-RCA,A3_feature_calc_error,small,16,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4589557647705078,9
APA-RCA-v2,A3_feature_calc_error,small,17,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,17.0,0,0,0,0.058823529411764705,1.0,0.49376487731933594,9
VAE+APA-RCA,A3_feature_calc_error,small,17,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4248619079589844,9
APA-RCA-v2,A3_feature_calc_error,small,18,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,3.0,0,1,1,0.3333333333333333,0.8,0.48470497131347656,9
VAE+APA-RCA,A3_feature_calc_error,small,18,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.5114078521728516,9
APA-RCA-v2,A3_feature_calc_error,small,19,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,6.0,0,0,0,0.16666666666666666,1.0,0.47898292541503906,9
VAE+APA-RCA,A3_feature_calc_error,small,19,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.431060791015625,9
APA-RCA-v2,A3_feature_calc_error,small,20,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,10.0,0,0,0,0.1,1.0,0.47779083251953125,9
VAE+APA-RCA,A3_feature_calc_error,small,20,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.45990943908691406,9
