method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
APA-RCA-v3,A1_source_corruption,medium_real,18,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.3649463653564453,9
AnomalyOnly,A1_source_corruption,medium_real,18,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.015020370483398438,1
Schema-Constraint,A1_source_corruption,medium_real,18,SRC_STOCK_11_PRICE,REPORT_LIMIT,11,0,0,0,0.09090909090909091,1.0,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,19,SRC_STOCK_8_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.8839836120605469,9
APA-RCA-v3,A1_source_corruption,medium_real,19,SRC_STOCK_8_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.3370513916015625,9
AnomalyOnly,A1_source_corruption,medium_real,19,SRC_STOCK_8_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.015974044799804688,1
Schema-Constraint,A1_source_corruption,medium_real,19,SRC_STOCK_8_PRICE,REPORT_LIMIT,8,0,0,0,0.125,1.0,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,20,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,3.5889148712158203,9
APA-RCA-v3,A1_source_corruption,medium_real,20,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,2.3522377014160156,9
AnomalyOnly,A1_source_corruption,medium_real,20,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.01621246337890625,1
Schema-Constraint,A1_source_corruption,medium_real,20,SRC_STOCK_11_PRICE,REPORT_LIMIT,11,0,0,0,0.09090909090909091,1.0,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,21,SRC_STOCK_4_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4972686767578125,9
APA-RCA-v3,A1_source_corruption,medium_real,21,SRC_STOCK_4_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.3759136199951172,9
