method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
CVAE+APA-RCA,A2_etl_logic_error,small,3,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,7.0,0,0,0,0.14285714285714285,1.0,0.469207763671875,9
APA-RCA-v2,A2_etl_logic_error,small,4,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.514984130859375,9
CVAE+APA-RCA,A2_etl_logic_error,small,4,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,4.0,0,0,1,0.25,0.8,0.4832744598388672,9
APA-RCA-v2,A2_etl_logic_error,small,5,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.48470497131347656,9
CVAE+APA-RCA,A2_etl_logic_error,small,5,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,7.0,0,0,0,0.14285714285714285,1.0,0.4837512969970703,9
APA-RCA-v2,A2_etl_logic_error,small,6,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.4878044128417969,9
CVAE+APA-RCA,A2_etl_logic_error,small,6,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,7.0,0,0,0,0.14285714285714285,1.0,0.5161762237548828,9
APA-RCA-v2,A2_etl_logic_error,small,7,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.5240440368652344,9
CVAE+APA-RCA,A2_etl_logic_error,small,7,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,5.0,0,0,1,0.2,0.8,0.49114227294921875,9
APA-RCA-v2,A2_etl_logic_error,small,8,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.8080005645751953,9
CVAE+APA-RCA,A2_etl_logic_error,small,8,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,5.0,0,0,1,0.2,0.8,0.7090568542480469,9
APA-RCA-v2,A2_etl_logic_error,small,9,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.5190372467041016,9
CVAE+APA-RCA,A2_etl_logic_error,small,9,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,5.0,0,0,1,0.2,0.8,0.5071163177490234,9
APA-RCA-v2,A2_etl_logic_error,small,10,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.5209445953369141,9
CVAE+APA-RCA,A2_etl_logic_error,small,10,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,7.0,0,0,0,0.14285714285714285,1.0,0.5328655242919922,9
APA-RCA-v2,A2_etl_logic_error,small,11,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.5459785461425781,9
CVAE+APA-RCA,A2_etl_logic_error,small,11,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,6.0,0,0,0,0.16666666666666666,1.0,0.5388259887695312,9
APA-RCA-v2,A2_etl_logic_error,small,12,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,1.0311603546142578,9
CVAE+APA-RCA,A2_etl_logic_error,small,12,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,7.0,0,0,0,0.14285714285714285,1.0,0.5328655242919922,9
APA-RCA-v2,A2_etl_logic_error,small,13,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.6368160247802734,9
CVAE+APA-RCA,A2_etl_logic_error,small,13,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,6.0,0,0,0,0.16666666666666666,1.0,0.5779266357421875,9
APA-RCA-v2,A2_etl_logic_error,small,14,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.6659030914306641,9
CVAE+APA-RCA,A2_etl_logic_error,small,14,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,6.0,0,0,0,0.16666666666666666,1.0,0.6358623504638672,9
APA-RCA-v2,A2_etl_logic_error,small,15,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,3.0,0,1,1,0.3333333333333333,0.8,0.6346702575683594,9
CVAE+APA-RCA,A2_etl_logic_error,small,15,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,7.0,0,0,0,0.14285714285714285,1.0,0.6961822509765625,9
