method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
APA-RCA-v2,A3_feature_calc_error,medium_real,9,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,38,0,0,0,0.02631578947368421,1.0,0.6721019744873047,9
AnomalyOnly,A3_feature_calc_error,medium_real,9,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,10,0,0,0,0.1,1.0,0.007152557373046875,1
APA-RCA-v2,A4_aggregation_error,medium_real,0,FEAT_SECTOR_B,REPORT_DASHBOARD,57,0,0,0,0.017543859649122806,1.0,0.6670951843261719,9
AnomalyOnly,A4_aggregation_error,medium_real,0,FEAT_SECTOR_B,REPORT_DASHBOARD,55,0,0,0,0.01818181818181818,1.0,0.008344650268554688,1
APA-RCA-v2,A4_aggregation_error,medium_real,1,FEAT_SECTOR_A,REPORT_DASHBOARD,30,0,0,0,0.03333333333333333,1.0,0.6580352783203125,9
AnomalyOnly,A4_aggregation_error,medium_real,1,FEAT_SECTOR_A,REPORT_DASHBOARD,7,0,0,0,0.14285714285714285,1.0,0.0069141387939453125,1
APA-RCA-v2,A4_aggregation_error,medium_real,2,FEAT_SECTOR_B,REPORT_DASHBOARD,57,0,0,0,0.017543859649122806,1.0,0.659942626953125,9
AnomalyOnly,A4_aggregation_error,medium_real,2,FEAT_SECTOR_B,REPORT_DASHBOARD,55,0,0,0,0.01818181818181818,1.0,0.0069141387939453125,1
APA-RCA-v2,A4_aggregation_error,medium_real,3,FEAT_SECTOR_B,REPORT_DASHBOARD,57,0,0,0,0.017543859649122806,1.0,0.6601810455322266,9
AnomalyOnly,A4_aggregation_error,medium_real,3,FEAT_SECTOR_B,REPORT_DASHBOARD,55,0,0,0,0.01818181818181818,1.0,0.0069141387939453125,1
APA-RCA-v2,A4_aggregation_error,medium_real,4,FEAT_SECTOR_B,REPORT_DASHBOARD,57,0,0,0,0.017543859649122806,1.0,0.8580684661865234,9
AnomalyOnly,A4_aggregation_error,medium_real,4,FEAT_SECTOR_B,REPORT_DASHBOARD,55,0,0,0,0.01818181818181818,1.0,0.0069141387939453125,1
APA-RCA-v2,A4_aggregation_error,medium_real,5,FEAT_SECTOR_B,REPORT_DASHBOARD,57,0,0,0,0.017543859649122806,1.0,0.6639957427978516,9
AnomalyOnly,A4_aggregation_error,medium_real,5,FEAT_SECTOR_B,REPORT_DASHBOARD,55,0,0,0,0.01818181818181818,1.0,0.0069141387939453125,1
APA-RCA-v2,A4_aggregation_error,medium_real,6,FEAT_SECTOR_A,REPORT_DASHBOARD,30,0,0,0,0.03333333333333333,1.0,0.6530284881591797,9
AnomalyOnly,A4_aggregation_error,medium_real,6,FEAT_SECTOR_A,REPORT_DASHBOARD,7,0,0,0,0.14285714285714285,1.0,0.0069141387939453125,1
APA-RCA-v2,A4_aggregation_error,medium_real,7,FEAT_SECTOR_B,REPORT_DASHBOARD,57,0,0,0,0.017543859649122806,1.0,0.6568431854248047,9
AnomalyOnly,A4_aggregation_error,medium_real,7,FEAT_SECTOR_B,REPORT_DASHBOARD,55,0,0,0,0.01818181818181818,1.0,0.0069141387939453125,1
APA-RCA-v2,A4_aggregation_error,medium_real,8,FEAT_SECTOR_B,REPORT_DASHBOARD,57,0,0,0,0.017543859649122806,1.0,0.6451606750488281,9
AnomalyOnly,A4_aggregation_error,medium_real,8,FEAT_SECTOR_B,REPORT_DASHBOARD,55,0,0,0,0.01818181818181818,1.0,0.0069141387939453125,1
APA-RCA-v2,A4_aggregation_error,medium_real,9,FEAT_SECTOR_A,REPORT_DASHBOARD,30,0,0,0,0.03333333333333333,1.0,0.6527900695800781,9
AnomalyOnly,A4_aggregation_error,medium_real,9,FEAT_SECTOR_A,REPORT_DASHBOARD,7,0,0,0,0.14285714285714285,1.0,0.0069141387939453125,1
APA-RCA-v2,A5_downstream_masking,medium_real,0,SRC_STOCK_5_PRICE,REPORT_DASHBOARD,3,0,1,1,0.3333333333333333,0.8,0.6577968597412109,9
AnomalyOnly,A5_downstream_masking,medium_real,0,SRC_STOCK_5_PRICE,REPORT_DASHBOARD,13,0,0,0,0.07692307692307693,1.0,0.006198883056640625,1
APA-RCA-v2,A5_downstream_masking,medium_real,1,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,3,0,1,1,0.3333333333333333,0.8,0.6508827209472656,9
AnomalyOnly,A5_downstream_masking,medium_real,1,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,12,0,0,0,0.08333333333333333,1.0,0.0059604644775390625,1
APA-RCA-v2,A5_downstream_masking,medium_real,2,SRC_STOCK_5_PRICE,REPORT_DASHBOARD,3,0,1,1,0.3333333333333333,0.8,0.6401538848876953,9
AnomalyOnly,A5_downstream_masking,medium_real,2,SRC_STOCK_5_PRICE,REPORT_DASHBOARD,13,0,0,0,0.07692307692307693,1.0,0.007152557373046875,1
APA-RCA-v2,A5_downstream_masking,medium_real,3,SRC_STOCK_5_PRICE,REPORT_DASHBOARD,3,0,1,1,0.3333333333333333,0.8,0.6699562072753906,9
AnomalyOnly,A5_downstream_masking,medium_real,3,SRC_STOCK_5_PRICE,REPORT_DASHBOARD,13,0,0,0,0.07692307692307693,1.0,0.0069141387939453125,1
APA-RCA-v2,A5_downstream_masking,medium_real,4,SRC_STOCK_4_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.6480216979980469,9
AnomalyOnly,A5_downstream_masking,medium_real,4,SRC_STOCK_4_PRICE,REPORT_DASHBOARD,11,0,0,0,0.09090909090909091,1.0,0.007152557373046875,1
APA-RCA-v2,A5_downstream_masking,medium_real,5,SRC_STOCK_4_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.6568431854248047,9
AnomalyOnly,A5_downstream_masking,medium_real,5,SRC_STOCK_4_PRICE,REPORT_DASHBOARD,11,0,0,0,0.09090909090909091,1.0,0.0069141387939453125,1
