method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
APA-RCA,A2_etl_logic_error,small,2,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.5300045013427734,9
Schema-Constraint,A2_etl_logic_error,small,2,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,3,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.47278404235839844,9
Schema-Constraint,A2_etl_logic_error,small,3,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,4,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.45013427734375,9
Schema-Constraint,A2_etl_logic_error,small,4,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,5,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.49304962158203125,9
Schema-Constraint,A2_etl_logic_error,small,5,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,6,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.46515464782714844,9
Schema-Constraint,A2_etl_logic_error,small,6,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,17,0,0,0,0.058823529411764705,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,7,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.4558563232421875,9
Schema-Constraint,A2_etl_logic_error,small,7,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,8,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.4839897155761719,9
Schema-Constraint,A2_etl_logic_error,small,8,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,9,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.4639625549316406,9
Schema-Constraint,A2_etl_logic_error,small,9,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,17,0,0,0,0.058823529411764705,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,10,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.46706199645996094,9
Schema-Constraint,A2_etl_logic_error,small,10,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,0.0,0
